number,value,datetime_start,datetime_complete,duration,params_bagging_temperature,params_depth,params_draw_weight,params_l2_leaf_reg,params_learning_rate,state
0,0.5047607968590956,2024-11-28 14:50:03.472085,2024-11-28 15:54:51.741261,0 days 01:04:48.269176,0.33845146713288,5,1.0614138521076892,16,0.015247327185954698,COMPLETE
1,0.4993718191071688,2024-11-28 15:54:51.756911,2024-11-28 16:27:38.254965,0 days 00:32:46.498054,0.8962678885008277,6,1.7820515056009625,10,0.03978581595784864,COMPLETE
2,0.505179584120983,2024-11-28 16:27:38.270582,2024-11-28 16:59:04.505462,0 days 00:31:26.234880,0.6957012259360544,5,1.038782292231987,7,0.09636188342069889,COMPLETE
3,0.5039784789879308,2024-11-28 16:59:04.521088,2024-11-28 17:51:04.985043,0 days 00:52:00.463955,0.9252790755686408,4,1.2269885351037915,14,0.012665453192413701,COMPLETE
4,0.5043769085356987,2024-11-28 17:51:05.000659,2024-11-28 18:04:53.164202,0 days 00:13:48.163543,0.29928423821224737,5,1.5123191995002374,8,0.1787787542312296,COMPLETE
5,0.49294750618002037,2024-11-28 18:04:53.182508,2024-11-28 19:01:04.001893,0 days 00:56:10.819385,0.4428133368463626,8,1.8982616145760827,12,0.01328980560084124,COMPLETE
6,0.5053773447724298,2024-11-28 19:01:04.023574,2024-11-28 20:25:42.103996,0 days 01:24:38.080422,0.05063173203977955,8,1.2404745542589755,10,0.02590343226569945,COMPLETE
7,0.5031496291987786,2024-11-28 20:25:42.128504,2024-11-28 20:37:42.953638,0 days 00:12:00.825134,0.028256208734956823,6,1.6518404328082257,19,0.3256886555775962,COMPLETE
8,0.5052348407735932,2024-11-28 20:37:42.970932,2024-11-28 21:14:31.702307,0 days 00:36:48.731375,0.5206417423752475,6,1.3261693272869448,11,0.11852419103157817,COMPLETE
9,0.504993456449033,2024-11-28 21:14:31.717900,2024-11-28 21:28:51.825848,0 days 00:14:20.107948,0.4845186557291472,4,1.3498676151869116,4,0.13423714033006293,COMPLETE
10,0.5044001744946924,2024-11-28 21:28:51.841477,2024-11-28 22:55:30.538568,0 days 01:26:38.697091,0.0660826388731447,10,1.5151278954619296,1,0.04056389197705904,COMPLETE
11,0.5051708593863603,2024-11-28 22:55:30.566399,2024-11-29 00:22:37.453533,0 days 01:27:06.887134,0.7051151304750518,8,1.2689120015524493,10,0.04365121305367752,COMPLETE
12,0.5046561000436237,2024-11-29 00:22:37.539536,2024-11-29 01:08:57.265105,0 days 00:46:19.725569,0.17541652583050893,8,1.3796441630831346,14,0.025228053603064318,COMPLETE
13,0.5037719936018613,2024-11-29 01:08:57.306084,2024-11-29 01:48:39.471393,0 days 00:39:42.165309,0.6255053319070786,10,1.1721365826921568,6,0.4768136133169488,COMPLETE
14,0.505365711792933,2024-11-29 01:48:39.509027,2024-11-29 02:35:34.480838,0 days 00:46:54.971811,0.23369922228759268,7,1.4071480811360924,12,0.06781785708064128,COMPLETE
15,0.5030740148320488,2024-11-29 02:35:34.504149,2024-11-29 03:17:25.500495,0 days 00:41:50.996346,0.16310305066636843,9,1.6653163883548245,20,0.06318690983406851,COMPLETE
16,0.5051068779991276,2024-11-29 03:17:25.520684,2024-11-29 04:32:49.329815,0 days 01:15:23.809131,0.21560711043621228,7,1.4060178141712136,17,0.022516513572336225,COMPLETE
17,0.5052813726915806,2024-11-29 04:32:49.361645,2024-11-29 04:56:51.873258,0 days 00:24:02.511613,0.01148839834455151,7,1.1685881374785343,13,0.06526647917724067,COMPLETE
18,0.5038185255198487,2024-11-29 04:56:51.888878,2024-11-29 06:09:51.586180,0 days 01:12:59.697302,0.31809913203962853,9,1.6184958132966494,9,0.023879078149813597,COMPLETE
19,0.5046880907372401,2024-11-29 06:09:51.601817,2024-11-29 06:37:40.516785,0 days 00:27:48.914968,0.14362263801407482,9,1.4248110671000633,5,0.17561883880244095,COMPLETE
20,0.5055082157917696,2024-11-29 06:37:40.532405,2024-11-29 08:01:29.322753,0 days 01:23:48.790348,0.27270064118712467,7,1.1294358446317139,3,0.031964755228899265,COMPLETE
21,0.5053744365275556,2024-11-29 08:01:29.338379,2024-11-29 08:51:39.989834,0 days 00:50:10.651455,0.2604846179105473,7,1.1195344130604212,2,0.031567526759644346,COMPLETE
22,0.5056827104842228,2024-11-29 08:51:40.005460,2024-11-29 10:16:17.910169,0 days 01:24:37.904709,0.10197588421707271,8,1.004161718918664,1,0.030708578714718104,COMPLETE
23,0.5049992729387814,2024-11-29 10:16:17.941421,2024-11-29 11:06:00.571319,0 days 00:49:42.629898,0.10620362086230639,8,1.0099431060174662,3,0.017613393046375395,COMPLETE
24,0.5052842809364548,2024-11-29 11:06:00.586934,2024-11-29 12:19:44.763278,0 days 01:13:44.176344,0.37752657679989754,8,1.1188325680896283,1,0.030881224114464728,COMPLETE
25,0.5048916678784353,2024-11-29 12:19:44.786278,2024-11-29 14:20:26.422440,0 days 02:00:41.636162,0.11425380638631415,9,1.2677570393412059,4,0.010162721355084711,COMPLETE
26,0.5055402064853861,2024-11-29 14:20:26.445441,2024-11-29 15:26:37.725084,0 days 01:06:11.279643,0.3978368959443349,6,1.0973973052882315,3,0.05164575674407901,COMPLETE
27,0.5054180602006689,2024-11-29 15:26:37.754089,2024-11-29 16:36:17.614359,0 days 01:09:39.860270,0.4040698431569452,6,1.098352997663777,3,0.04855536205648559,COMPLETE
28,0.48604042460375163,2024-11-29 16:36:17.640445,2024-11-29 16:54:18.781266,0 days 00:18:01.140821,0.4928320170450608,6,1.9951901572885895,6,0.05329334018952059,COMPLETE
29,0.5049992729387814,2024-11-29 16:54:18.802540,2024-11-29 17:59:42.678021,0 days 01:05:23.875481,0.5749934772040075,5,1.0272271075549257,1,0.017767582737974682,COMPLETE
30,0.5049265668169259,2024-11-29 17:59:42.693644,2024-11-29 18:18:47.730990,0 days 00:19:05.037346,0.339704883870593,7,1.1747024491546791,3,0.08837505517913082,COMPLETE
